                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8786,                 4.9833,                 2.8016,                      0,                      0,                      0,                      0,                 3.6296,                 6.1558,                 3.0726,                      0,                      0,                      0
                      2,                 3.1009,                 5.1299,                 3.0097,                      0,                      0,                      0,                      0,                 3.6758,                 6.0827,                 3.1751,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.3061,                 5.0894,                 2.7377,                      0,                      0,                      0,                      0,                 3.6435,                  6.104,                 3.1664,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.4659,                 5.0512,                 2.5445,                      0,                      0,                      0,                      0,                 3.6368,                 6.1556,                 3.1782,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.0083,                 5.3091,                 2.6696,                      0,                      0,                      0,                      0,                 3.5917,                  6.148,                 3.1618,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.4468,                 5.0869,                 2.7828,                      0,                      0,                      0,                      0,                 3.5676,                 6.1265,                 3.1727,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.8626,                 5.3913,                  2.772,                      0,                      0,                      0,                      0,                  3.506,                 6.0829,                 3.1391,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.0789,                 5.8053,                 3.0228,                      0,                      0,                      0,                      0,                 3.4919,                 6.0914,                 3.1003,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                  2.851,                 5.3038,                 2.7587,                      0,                      0,                      0,                      0,                 3.4919,                 6.0914,                 3.1003,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.4376,                 4.9603,                 2.6394,                      0,                      0,                      0,                      0,                 3.4485,                  6.077,                 3.0936,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.9399,                 5.2135,                  2.564,                      0,                      0,                      0,                      0,                 3.4485,                  6.077,                 3.0936,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.5044,                 5.5126,                 2.5456,                      0,                      0,                      0,                      0,                 3.3433,                 5.9178,                 3.0399,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.6239,                  5.112,                   2.46,                      0,                      0,                      0,                      0,                 3.3433,                 5.9178,                 3.0399,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.6876,                 5.0387,                 2.7578,                      0,                      0,                      0,                      0,                 3.3503,                 5.9452,                 3.0311,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.8083,                  5.275,                 2.7447,                      0,                      0,                      0,                      0,                 3.3503,                 5.9452,                 3.0311,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 2.6314,                 5.0962,                 2.5476,                      0,                      0,                      0,                      0,                 3.2561,                 5.9543,                  2.992,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 2.5472,                 5.0502,                 2.5705,                      0,                      0,                      0,                      0,                 3.2561,                 5.9543,                  2.992,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.9049,                 5.4872,                 2.8899,                      0,                      0,                      0,                      0,                 3.2153,                 5.9035,                 2.9864,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.5048,                 4.9991,                  2.683,                      0,                      0,                      0,                      0,                 3.2153,                 5.9035,                 2.9864,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.6555,                  5.257,                 2.5449,                      0,                      0,                      0,                      0,                 3.2911,                 5.9427,                 3.0303,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 2.9246,                  5.123,                 2.9384,                      0,                      0,                      0,                      0,                 3.2911,                 5.9427,                 3.0303,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.6781,                 5.0204,                 2.6492,                      0,                      0,                      0,                      0,                 3.3291,                 5.9073,                 3.0746,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.5795,                 5.0832,                 2.6046,                      0,                      0,                      0,                      0,                 3.3291,                 5.9073,                 3.0746,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 2.6952,                 5.0122,                 2.7216,                      0,                      0,                      0,                      0,                 3.3291,                 5.9073,                 3.0746,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 2.6532,                 5.0446,                 2.5163,                      0,                      0,                      0,                      0,                 3.3915,                 5.8595,                 3.0909,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 2.4388,                 5.1979,                  2.401,                      0,                      0,                      0,                      0,                 3.3915,                 5.8595,                 3.0909,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 3.0492,                 5.3105,                 2.8476,                      0,                      0,                      0,                      0,                 3.3915,                 5.8595,                 3.0909,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 2.8126,                 5.0678,                 2.5307,                      0,                      0,                      0,                      0,                 3.3502,                 5.8495,                 3.0585,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 2.7521,                 5.0935,                   2.48,                      0,                      0,                      0,                      0,                 3.3502,                 5.8495,                 3.0585,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 2.7309,                 5.1345,                 2.6245,                      0,                      0,                      0,                      0,                 3.3502,                 5.8495,                 3.0585,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 2.6522,                   5.35,                 2.8468,                      0,                      0,                      0,                      0,                 3.3724,                  5.866,                 3.0438,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.7528,                 5.3209,                 2.6442,                      0,                      0,                      0,                      0,                 3.3724,                  5.866,                 3.0438,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.5117,                 4.9328,                 2.8145,                      0,                      0,                      0,                      0,                 3.3724,                  5.866,                 3.0438,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 2.6708,                 5.0171,                 2.5228,                      0,                      0,                      0,                      0,                   3.54,                 5.9421,                 3.1204,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 2.3707,                 4.9583,                  2.394,                      0,                      0,                      0,                      0,                   3.54,                 5.9421,                 3.1204,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.8398,                 5.0048,                 2.6868,                      0,                      0,                      0,                      0,                   3.54,                 5.9421,                 3.1204,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.5733,                 5.1038,                 2.4548,                      0,                      0,                      0,                      0,                   3.54,                 5.9421,                 3.1204,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.2076,                 4.9658,                 2.2972,                      0,                      0,                      0,                      0,                 3.5779,                 5.9681,                 3.1257,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.6165,                 5.0717,                 2.8804,                      0,                      0,                      0,                      0,                 3.5779,                 5.9681,                 3.1257,             2.8208e-05,             2.8208e-05,             2.8208e-05
