epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1578.99,1.16333,1.43379,1.43313,0.97246,0.94598,0.97541,0.6782,1.01189,1.01503,1.27569,0.00333029,0.00333029,0.00333029
2,3121.14,1.05596,0.85941,1.30379,0.96818,0.95153,0.97109,0.67611,1.03163,0.7171,1.30003,0.00663064,0.00663064,0.00663064
3,4803.81,1.05712,0.75352,1.28667,0.96977,0.95754,0.97518,0.66714,1.05576,0.65206,1.28152,0.00989799,0.00989799,0.00989799
4,6381.29,1.05435,0.72655,1.29649,0.97153,0.97007,0.97442,0.67285,1.00579,0.62322,1.25635,0.0098515,0.0098515,0.0098515
5,7966.02,1.03543,0.67618,1.28575,0.97649,0.97428,0.98597,0.73771,0.90857,0.55613,1.18443,0.009802,0.009802,0.009802
6,9534.24,0.99082,0.63472,1.25142,0.97853,0.97166,0.98038,0.73615,0.91365,0.53358,1.17704,0.0097525,0.0097525,0.0097525
7,11128.2,0.9811,0.61779,1.24729,0.98173,0.97584,0.98326,0.74658,0.89274,0.53772,1.16878,0.009703,0.009703,0.009703
8,12772.8,0.95957,0.59424,1.22815,0.98602,0.9801,0.98602,0.76932,0.87119,0.48908,1.14336,0.0096535,0.0096535,0.0096535
9,14407.7,0.94784,0.58312,1.22205,0.98312,0.98223,0.99109,0.76972,0.86384,0.45837,1.12809,0.009604,0.009604,0.009604
10,16005.7,0.93454,0.57148,1.21391,0.98887,0.98223,0.99235,0.76731,0.86263,0.45901,1.12873,0.0095545,0.0095545,0.0095545
11,17510.6,0.91465,0.54214,1.19893,0.98942,0.98294,0.99223,0.76897,0.85349,0.4285,1.12624,0.009505,0.009505,0.009505
12,18982.9,0.9054,0.53719,1.19858,0.98924,0.97977,0.99074,0.7763,0.82093,0.44046,1.10389,0.0094555,0.0094555,0.0094555
13,20449,0.90778,0.5279,1.1921,0.99144,0.98507,0.99074,0.78024,0.82465,0.423,1.11369,0.009406,0.009406,0.009406
14,21931.8,0.89152,0.52258,1.18394,0.98998,0.98365,0.99262,0.78639,0.82411,0.41501,1.11029,0.0093565,0.0093565,0.0093565
15,23406.7,0.87603,0.50055,1.17959,0.98944,0.98294,0.99245,0.77287,0.83223,0.41675,1.10795,0.009307,0.009307,0.009307
16,24875.1,0.87727,0.50824,1.17971,0.99142,0.98081,0.99303,0.77107,0.8583,0.41941,1.13052,0.0092575,0.0092575,0.0092575
17,26352,0.87613,0.50139,1.17713,0.98951,0.98436,0.9925,0.77792,0.83423,0.4128,1.11761,0.009208,0.009208,0.009208
18,27833.5,0.86262,0.49093,1.16638,0.99235,0.9865,0.99372,0.80006,0.79676,0.3838,1.08035,0.0091585,0.0091585,0.0091585
19,29309.5,0.86137,0.49307,1.16046,0.98789,0.98541,0.99261,0.79079,0.79742,0.39884,1.06792,0.009109,0.009109,0.009109
20,30784.2,0.85119,0.48344,1.15406,0.99497,0.98336,0.99398,0.78741,0.80175,0.38416,1.07729,0.0090595,0.0090595,0.0090595
21,32261.4,0.84348,0.48062,1.14396,0.99071,0.98542,0.9937,0.79547,0.79373,0.3899,1.08121,0.00901,0.00901,0.00901
22,33721.6,0.83571,0.46948,1.14591,0.99213,0.98542,0.99309,0.79413,0.80344,0.38334,1.07044,0.0089605,0.0089605,0.0089605
23,35190.5,0.83776,0.47068,1.14257,0.99202,0.9865,0.99233,0.80355,0.78645,0.37243,1.0721,0.008911,0.008911,0.008911
24,36668.7,0.83939,0.47058,1.14585,0.99536,0.98579,0.99438,0.79895,0.77506,0.366,1.06207,0.0088615,0.0088615,0.0088615
25,38135.5,0.83011,0.45768,1.13528,0.99569,0.98601,0.99406,0.80705,0.76726,0.3535,1.04981,0.008812,0.008812,0.008812
26,39607.3,0.80812,0.44065,1.12722,0.99138,0.98579,0.99311,0.79509,0.80706,0.37187,1.08178,0.0087625,0.0087625,0.0087625
27,41127.8,0.81286,0.44786,1.13026,0.99215,0.98826,0.99419,0.80854,0.74976,0.3552,1.04451,0.008713,0.008713,0.008713
28,42709.2,0.82207,0.45007,1.13225,0.99596,0.9865,0.99424,0.81209,0.76462,0.36134,1.04747,0.0086635,0.0086635,0.0086635
29,44217.5,0.80515,0.44322,1.11753,0.99569,0.9856,0.99359,0.81828,0.7492,0.34601,1.03221,0.008614,0.008614,0.008614
30,45722.2,0.80036,0.43735,1.12019,0.99427,0.98732,0.99413,0.81521,0.74625,0.34665,1.02967,0.0085645,0.0085645,0.0085645
31,47213.4,0.79254,0.43382,1.10823,0.99474,0.9865,0.99397,0.80505,0.7641,0.35765,1.03375,0.008515,0.008515,0.008515
32,48700.7,0.7939,0.42846,1.11093,0.99499,0.98829,0.99427,0.81649,0.72916,0.33551,1.02819,0.0084655,0.0084655,0.0084655
33,50192.9,0.79133,0.43231,1.11368,0.99212,0.98407,0.99418,0.80986,0.7567,0.35673,1.04202,0.008416,0.008416,0.008416
34,52147.8,0.7907,0.43501,1.11699,0.99144,0.98827,0.99339,0.8215,0.73217,0.33799,1.03388,0.0083665,0.0083665,0.0083665
35,54254.1,0.7848,0.42899,1.11078,0.99484,0.98579,0.99375,0.82205,0.7241,0.33659,1.01502,0.008317,0.008317,0.008317
36,56411.8,0.77975,0.41732,1.10855,0.99498,0.9859,0.99385,0.8235,0.73399,0.33121,1.02074,0.0082675,0.0082675,0.0082675
37,58504.5,0.77604,0.43195,1.10521,0.99498,0.98561,0.99282,0.81975,0.71523,0.33342,1.01371,0.008218,0.008218,0.008218
38,60268.9,0.77315,0.42326,1.10736,0.99528,0.98721,0.99346,0.82181,0.73007,0.33269,1.01342,0.0081685,0.0081685,0.0081685
39,61898.1,0.78032,0.41859,1.10753,0.99427,0.98714,0.99406,0.82585,0.70585,0.32821,1.00665,0.008119,0.008119,0.008119
40,63524.1,0.76599,0.41519,1.0998,0.99637,0.98792,0.9944,0.82475,0.72723,0.32442,1.00298,0.0080695,0.0080695,0.0080695
41,65138.5,0.76372,0.40735,1.09337,0.99287,0.98996,0.99303,0.83233,0.70616,0.32056,0.99506,0.00802,0.00802,0.00802
42,66833.4,0.7559,0.40954,1.08404,0.99333,0.99218,0.99445,0.83569,0.69641,0.31968,0.99281,0.0079705,0.0079705,0.0079705
43,68594.1,0.75464,0.40705,1.08973,0.99193,0.99147,0.99424,0.83301,0.69203,0.31314,0.98826,0.007921,0.007921,0.007921
44,70348.4,0.75292,0.40233,1.08499,0.9963,0.9865,0.9937,0.83904,0.687,0.31067,0.98776,0.0078715,0.0078715,0.0078715
45,71902.8,0.74173,0.40075,1.0804,0.99498,0.98628,0.99404,0.83896,0.6901,0.31453,0.99176,0.007822,0.007822,0.007822
46,73457.1,0.74638,0.40072,1.08366,0.98936,0.99125,0.99421,0.83525,0.6914,0.31412,0.97891,0.0077725,0.0077725,0.0077725
47,74925.8,0.7422,0.40336,1.07695,0.9887,0.99501,0.99407,0.84005,0.68905,0.31272,0.98034,0.007723,0.007723,0.007723
48,76407.6,0.74424,0.39876,1.08198,0.99362,0.99076,0.99445,0.84011,0.67715,0.30964,0.97692,0.0076735,0.0076735,0.0076735
49,77937.3,0.73995,0.39664,1.07366,0.99874,0.98579,0.99425,0.8399,0.68163,0.30408,0.97874,0.007624,0.007624,0.007624
50,79591.2,0.73453,0.39446,1.07156,0.99459,0.99147,0.99493,0.84527,0.67716,0.29693,0.96659,0.0075745,0.0075745,0.0075745
51,81987.7,0.73236,0.39206,1.07139,0.9953,0.9865,0.9943,0.84541,0.67329,0.30009,0.97262,0.007525,0.007525,0.007525
52,84236.4,0.71842,0.38202,1.06498,0.9915,0.99519,0.99425,0.84356,0.67578,0.29335,0.9744,0.0074755,0.0074755,0.0074755
53,86435.4,0.7247,0.37952,1.06466,0.99147,0.99431,0.99438,0.842,0.66588,0.29951,0.97174,0.007426,0.007426,0.007426
54,88111.9,0.71926,0.3835,1.06044,0.99291,0.99488,0.99441,0.84382,0.66749,0.29312,0.96867,0.0073765,0.0073765,0.0073765
55,89717.1,0.72055,0.38354,1.06685,0.9936,0.9934,0.99423,0.84653,0.65846,0.28996,0.96267,0.007327,0.007327,0.007327
56,91333.6,0.71732,0.38367,1.06523,0.99737,0.99218,0.99486,0.84789,0.65532,0.2864,0.96639,0.0072775,0.0072775,0.0072775
57,92866.6,0.7137,0.38095,1.0712,0.99129,0.99574,0.99428,0.85071,0.64414,0.28914,0.95648,0.007228,0.007228,0.007228
58,94373.8,0.70286,0.37659,1.05897,0.99146,0.99574,0.99496,0.85941,0.63397,0.28332,0.94868,0.0071785,0.0071785,0.0071785
59,95873.1,0.70387,0.37251,1.06028,0.99513,0.99147,0.99468,0.85439,0.64103,0.2837,0.95542,0.007129,0.007129,0.007129
60,97428.5,0.71481,0.37579,1.06762,0.99478,0.99574,0.99452,0.85384,0.63131,0.28276,0.96082,0.0070795,0.0070795,0.0070795
61,99074.5,0.70352,0.37941,1.0595,0.99206,0.99787,0.99474,0.85939,0.62541,0.28016,0.95551,0.00703,0.00703,0.00703
62,100620,0.70034,0.37969,1.06441,0.99786,0.9945,0.995,0.86314,0.6199,0.27563,0.94549,0.0069805,0.0069805,0.0069805
63,102250,0.70112,0.37687,1.05265,0.99714,0.99245,0.99444,0.86238,0.62732,0.27649,0.94327,0.006931,0.006931,0.006931
64,103809,0.69533,0.37306,1.05585,0.99468,0.99716,0.99431,0.85753,0.62607,0.27668,0.94913,0.0068815,0.0068815,0.0068815
65,105399,0.69632,0.38121,1.05445,0.99293,0.99808,0.99498,0.85538,0.62829,0.27533,0.94439,0.006832,0.006832,0.006832
